93,"The Colour of Magic","Terry Pratchett","UK The Big Read"
94,"The Alchemist","Paulo Coelho","UK The Big Read"
95,"Katherine","Anya Seton","UK The Big Read"
96,"Kane and Abel","Jeffrey Archer","UK The Big Read"
97,"Love in the Time of Cholera","Gabriel García Márquez","UK The Big Read"
98,"Girls in Love","Jacqueline Wilson","UK The Big Read"
99,"The Princess Diaries","Meg Cabot","UK The Big Read"
100,"Midnight's Children","Salman Rushdie","UK The Big Read"
101,"Three Men in a Boat","Jerome K. Jerome","UK The Big Read"
102,"Small Gods","Terry Pratchett","UK The Big Read"
103,"The Beach","Alex Garland","UK The Big Read"
104,"Dracula","Bram Stoker","UK The Big Read"
105,"Point Blanc","Anthony Horowitz","UK The Big Read"
106,"The Pickwick Papers","Charles Dickens","UK The Big Read"
107,"Stormbreaker","Anthony Horowitz","UK The Big Read"
108,"The Wasp Factory","Iain Banks","UK The Big Read"
109,"The Day of the Jackal","Frederick Forsyth","UK The Big Read"
110,"The Illustrated Mum","Jacqueline Wilson","UK The Big Read"
111,"Jude the Obscure","Thomas Hardy","UK The Big Read"
112,"The Secret Diary of Adrian Mole, Aged 13¾","Sue Townsend","UK The Big Read"
113,"The Cruel Sea","Nicholas Monsarrat","UK The Big Read"
114,"Les Misérables","Victor Hugo","UK The Big Read"
115,"The Mayor of Casterbridge","Thomas Hardy","UK The Big Read"
116,"The Dare Game","Jacqueline Wilson","UK The Big Read"
117,"Bad Girls","Jacqueline Wilson","UK The Big Read"
118,"The Picture of Dorian Gray","Oscar Wilde","UK The Big Read"
119,"Shōgun","James Clavell","UK The Big Read"
120,"The Day of the Triffids","John Wyndham","UK The Big Read"
121,"Lola Rose","Jacqueline Wilson","UK The Big Read"
122,"Vanity Fair","William Makepeace Thackeray","UK The Big Read"
123,"The Forsyte Saga","John Galsworthy","UK The Big Read"
124,"House of Leaves","Mark Z. Danielewski","UK The Big Read"
125,"The Poisonwood Bible","Barbara Kingsolver","UK The Big Read"
126,"Reaper Man","Terry Pratchett","UK The Big Read"
127,"Angus, Thongs and Full-Frontal Snogging","Louise Rennison","UK The Big Read"
128,"The Hound of the Baskervilles","Arthur Conan Doyle","UK The Big Read"
129,"Possession: A Romance","A. S. Byatt","UK The Big Read"
130,"The Master and Margarita","Mikhail Bulgakov","UK The Big Read"
131,"The Handmaid's Tale","Margaret Atwood","UK The Big Read"
132,"Danny, the Champion of the World","Roald Dahl","UK The Big Read"
133,"East of Eden","John Steinbeck","UK The Big Read"
134,"George's Marvellous Medicine","Roald Dahl","UK The Big Read"
135,"Wyrd Sisters","Terry Pratchett","UK The Big Read"
136,"The Color Purple","Alice Walker","UK The Big Read"
137,"Hogfather","Terry Pratchett","UK The Big Read"
138,"The Thirty-Nine Steps","John Buchan","UK The Big Read"
139,"Girls in Tears","Jacqueline Wilson","UK The Big Read"
140,"Sleepovers","Jacqueline Wilson","UK The Big Read"
141,"All Quiet on the Western Front","Erich Maria Remarque","UK The Big Read"
142,"Behind the Scenes at the Museum","Kate Atkinson","UK The Big Read"
143,"High Fidelity","Nick Hornby","UK The Big Read"
144,"It","Stephen King","UK The Big Read"
145,"James and the Giant Peach","Roald Dahl","UK The Big Read"
146,"The Green Mile","Stephen King","UK The Big Read"
147,"Papillon","Henri Charrière","UK The Big Read"
148,"Men at Arms","Terry Pratchett","UK The Big Read"
149,"Master and Commander","Patrick O'Brian","UK The Big Read"
150,"Skeleton Key","Anthony Horowitz","UK The Big Read"
151,"Soul Music","Terry Pratchett","UK The Big Read"
152,"Thief of Time","Terry Pratchett","UK The Big Read"
153,"The Fifth Elephant","Terry Pratchett","UK The Big Read"
154,"Atonement","Ian McEwan","UK The Big Read"
155,"Secrets","Jacqueline Wilson","UK The Big Read"
156,"The Silver Sword","Ian Serraillier","UK The Big Read"
157,"One Flew Over the Cuckoo's Nest","Ken Kesey","UK The Big Read"
158,"Heart of Darkness","Joseph Conrad","UK The Big Read"
159,"Kim","Rudyard Kipling","UK The Big Read"
160,"Cross Stitch","Diana Gabaldon","UK The Big Read"
161,"Moby-Dick","Herman Melville","UK The Big Read"
162,"River God","Wilbur Smith","UK The Big Read"
163,"Sunset Song","Lewis Grassic Gibbon","UK The Big Read"
164,"The Shipping News","E. Annie Proulx","UK The Big Read"
165,"The World According to Garp","John Irving","UK The Big Read"
166,"Lorna Doone","R. D. Blackmore","UK The Big Read"
167,"Girls Out Late","Jacqueline Wilson","UK The Big Read"
168,"The Far Pavilions","M. M. Kaye","UK The Big Read"
169,"The Witches","Roald Dahl","UK The Big Read"
170,"Charlotte's Web","E. B. White","UK The Big Read"
171,"Frankenstein","Mary Shelley","UK The Big Read"
172,"They Used to Play on Grass","Terry Venables and Gordon Williams","UK The Big Read"
173,"The Old Man and the Sea","Ernest Hemingway","UK The Big Read"
174,"The Name of the Rose","Umberto Eco","UK The Big Read"
175,"Sophie's World","Jostein Gaarder","UK The Big Read"
176,"Dustbin Baby","Jacqueline Wilson","UK The Big Read"
177,"Fantastic Mr Fox","Roald Dahl","UK The Big Read"
178,"Lolita","Vladimir Nabokov","UK The Big Read"
179,"Jonathan Livingston Seagull","Richard Bach","UK The Big Read"
180,"The Little Prince","Antoine de Saint-Exupéry","UK The Big Read"
181,"The Suitcase Kid","Jacqueline Wilson","UK The Big Read"
182,"Oliver Twist","Charles Dickens","UK The Big Read"
183,"The Power of One","Bryce Courtenay","UK The Big Read"
184,"Silas Marner","George Eliot","UK The Big Read"
185,"American Psycho","Bret Easton Ellis","UK The Big Read"
186,"The Diary of a Nobody","George and Weedon Grossmith","UK The Big Read"
187,"Trainspotting","Irvine Welsh","UK The Big Read"
188,"Goosebumps","R. L. Stine","UK The Big Read"
189,"Heidi","Johanna Spyri","UK The Big Read"
190,"Sons and Lovers","D. H. Lawrence","UK The Big Read"
191,"The Unbearable Lightness of Being","Milan Kundera","UK The Big Read"
192,"Man and Boy","Tony Parsons","UK The Big Read"
193,"The Truth","Terry Pratchett","UK The Big Read"
194,"The War of the Worlds","H. G. Wells","UK The Big Read"
195,"The Horse Whisperer","Nicholas Evans","UK The Big Read"
196,"A Fine Balance","Rohinton Mistry","UK The Big Read"
197,"Witches Abroad","Terry Pratchett","UK The Big Read"
198,"The Once and Future King","T. H. White","UK The Big Read"
199,"The Very Hungry Caterpillar","Eric Carle","UK The Big Read"
200,"Flowers in the Attic","V. C. Andrews","UK The Big Read"
